price,bedrooms,bathrooms,Area_sqft
1.38E+06,4,3,20253
1.40E+06,4,3,20253
305000,4,2,11800
487000,3,2,18212
390000,3,3,69184
548000,2,1,6904
268750,4,1,10885
819900,5,3,11829
520000,3,2,20890
230000,3,2,14174
240000,3,2,13268
232000,2,1,15152
240500,2,1,15152
274975,3,3,51114
740000,4,2,8770
186375,3,1,9786
790000,3,2,15159
880000,4,4,11920
279000,6,2,15010
295000,3,2,14250
640000,2,1,7780
940000,4,2,14785
260000,4,3,8998
559900,3,3,11079
791500,4,2,6830
265000,3,2,11410
245000,3,2,14167
485000,4,2,49115
684000,4,4,14924
425000,3,2,10920
309600,4,2,22935
552250,4,3,10783
165000,4,1,9154
239900,4,1,9154
320000,2,1,35063
206600,3,2,16574
387000,4,2,12230
299000,1,1,13980
855000,4,3,15340
315000,3,1,18240
437500,2,1,6040
252000,4,2,22990
375000,4,2,11275
300000,4,3,8782
420000,4,1,13100
900000,3,1,80642
679900,3,3,9710
463000,3,3,33190
380000,5,3,16570
329500,4,3,11552
604950,3,3,9758
795000,5,3,15530
465000,3,2,43658
673000,4,3,15530
810000,4,3,22340
785000,4,3,74625
338000,4,3,11400
280000,3,2,10082
315000,4,2,14744
530000,4,2,14744
380000,5,3,16224
297000,3,2,10662
730000,4,3,14041
450000,3,2,16910
275000,3,3,11020
595000,4,2,6779
435000,3,2,6238
270000,2,2,214469
950000,3,3,21738
389000,4,2,9767
560000,4,2,12770
1.35E+06,5,4,23834
799000,4,2,16545
365500,3,2,12420
252350,3,2,10712
403950,4,3,17780
385000,4,2,14376
345000,4,1,10620
490000,3,3,7058
330000,3,3,30367
927000,4,3,18570
1.12E+06,4,3,24059
330000,2,1,13220
530000,5,2,13630
365000,4,2,29540
378750,3,3,6220
269900,4,2,11670
557000,3,4,5436
360000,4,2,22590
352000,2,1,7500
437000,3,3,26537
322500,4,3,10393
650000,3,3,5020
450000,3,2,3793
278500,3,2,8390
364950,4,3,10977
840000,4,4,46159
268000,3,3,11234
517534,2,1,146160
632925,3,3,38219
577500,3,3,11701
339000,4,2,12720
570000,3,2,42891
563500,4,2,179015
423000,4,2,13461
355000,3,2,9208
1.55E+06,5,4,182376
482000,2,1,6230
625000,3,2,12315
538000,3,3,16242
380000,3,3,14845
375000,2,1,7360
245000,3,3,11880
310000,5,2,31070
1.30E+06,3,2,20901
397000,4,2,10580
365000,3,3,8562
328500,4,3,12830
988000,4,3,27670
1.00E+06,4,3,7697
237000,3,3,5118
525000,4,3,10030
749000,4,3,13477
722500,5,3,19850
843000,3,3,14740
438000,2,2,4252
578000,3,2,15455
227950,3,2,11977
196000,3,2,15536
641000,2,1,9152
350000,3,2,223158
205000,3,1,10070
400000,3,2,12942
1.03E+06,3,3,16991
505000,3,2,8230
475000,5,3,11470
520000,3,2,14433
1.45E+06,3,5,31500
333500,3,2,12582
232000,3,1,13033
691100,3,3,20597
811000,3,2,13667
551000,3,3,11132
496500,3,3,8250
705000,3,3,25228
578000,4,3,14825
255000,3,2,11389
1.05E+06,4,4,14502
348000,3,2,13461
230000,3,2,6493
359500,4,2,16120
330000,3,1,9200
80000,1,1,6680
465000,3,2,9320
325000,4,3,11274
340500,3,2,32065
342500,3,3,8812
290900,2,2,20520
868700,3,4,13231
1.20E+06,4,3,15330
1.15E+06,4,3,18749
859900,4,3,13078
520000,4,2,6476
460000,3,3,5747
438924,3,2,7410
315000,2,1,8600
590000,4,3,16480
378500,4,2,11960
328500,3,3,12430
849950,3,3,14993
525000,3,2,9080
1.39E+06,4,3,190029
295000,4,3,11945
1.07E+06,6,4,20253
207950,2,2,7750
699900,4,3,12932
1.28E+06,5,3,15980
452000,4,2,10490
370000,3,2,8396
232000,3,2,13830
669950,5,3,18792
397500,3,2,9880
490000,2,3,3861
725000,4,2,7690
299000,3,3,25139
625000,2,2,8830
437500,3,3,9150
650000,4,3,11648
475000,2,1,6775
342000,3,2,16077
1.20E+06,4,3,13290
280000,3,2,15210
240000,2,2,9980
529000,3,1,6178
442000,3,1,7980
615000,2,1,9832
1.49E+06,4,4,16990
585000,4,2,11969
480000,4,3,13217
1.10E+06,5,4,64373
290000,4,1,10734
615000,3,2,8670
300000,2,1,10240
308000,3,1,42990
750000,3,3,12225
2.25E+06,4,2,15746
890000,4,3,199658
288000,3,1,9940
190000,2,1,8100
515000,5,3,9925
235000,4,2,14434
275000,2,1,6880
727500,2,2,11739
650000,4,3,12367
1.60E+06,6,5,240912
365000,4,1,9995
662000,3,2,42037
270500,3,3,11308
200000,2,2,4618
970000,4,3,84310
160000,3,2,12010
204000,3,1,10025
358000,3,2,10045
452000,4,2,11708
595000,2,2,7430
249000,3,2,8802
346900,4,3,9306
2.13E+06,3,3,33452
280000,4,3,7470
318888,4,2,16440
530000,3,2,45118
375000,3,2,22740
910000,4,3,36512
782000,4,3,14554
259950,2,2,2789
315000,4,3,22530
215000,2,1,11375
705000,3,2,14581
1.45E+06,3,3,13780
451000,3,2,13123
261000,2,1,10215
396000,3,2,11150
725000,4,3,35875
1.95E+06,7,4,23105
238000,4,1,9952
750000,6,2,14353
331500,4,3,14371
460000,4,3,113090
404950,4,2,221694
880000,3,3,9663
863000,4,3,29670
638700,3,2,13112
435000,3,3,9120
260000,3,1,8020
671500,5,3,8200
610000,3,1,6020
405000,2,1,18059
338900,4,3,9272
720000,4,4,14388
442000,5,3,9085
650000,5,3,9180
263500,3,2,12577
300000,2,1,79024
266000,3,3,7302
930000,4,4,93692
530000,4,3,10263
180000,3,1,11344
619000,3,3,12339
264000,3,2,13808
730000,2,2,9180
439000,4,2,14190
268500,4,2,10420
330000,3,2,18724
640000,3,3,8320
900000,3,3,18810
370000,3,2,17880
685000,3,2,6870
505000,3,2,222080
265000,3,2,36536
290000,3,3,6157
296000,4,3,7400
360000,4,3,13281
240500,3,2,13264
372500,2,3,5898
595000,3,3,21102
515000,4,3,14699
1.22E+06,4,2,21637
507000,2,2,10300
399950,4,2,36445
185000,3,2,13806
460000,3,2,9950
435500,3,2,7799
469000,4,3,19538
531000,2,3,3735
443500,2,1,8894
223000,3,2,10154
590000,4,4,21142
340000,2,3,4060
650000,3,2,7038
533600,3,3,9200
695000,3,3,9834
242000,3,2,10304
425000,3,2,12444
525000,3,2,12194
485000,3,3,9422
175000,3,1,12415
210000,3,2,10350
260000,3,3,11265
577000,3,3,9730
200000,3,2,13206
605000,2,2,8290
325000,3,1,9180
289500,3,1,8560
559950,3,3,4778
1.04E+06,3,2,14035
543500,3,2,5980
480000,4,2,40653
218000,3,1,11673
565000,2,2,8950
426700,3,2,11460
650000,3,3,16655
542000,2,1,5710
415000,3,2,10270
214000,3,1,10716
245000,3,2,11490
314500,3,2,17533
1.12E+06,3,2,10570
378000,2,2,6100
305000,4,3,12881
595000,5,3,13110
729500,3,3,4261
430000,3,3,11419
240000,3,2,10020
545000,3,2,9560
530000,3,2,5400
157000,1,1,28446
425000,4,1,10075
220000,3,1,8320
521000,4,2,40940
325000,3,1,10782
597500,3,2,9490
337000,3,3,6936
1.00E+06,3,3,16672
3.07E+06,3,3,62527
495000,3,1,8240
748000,4,4,8280
888000,3,2,11710
269900,3,2,24557
496500,4,3,18780
475000,3,3,8617
312000,3,2,3936
323000,3,1,14911
331000,3,2,12269
306000,3,2,3526
655000,4,3,8270
290000,3,2,19844
1.25E+06,4,3,10380
460000,3,2,8138
435000,4,3,9460
664000,4,3,16780
865000,4,2,8160
385000,3,2,21600
497000,3,2,13415
280000,2,1,5160
188000,2,2,20297
478500,3,1,8695
1.15E+06,4,4,26921
222000,3,2,10067
799000,4,3,215543
609900,4,3,13839
413000,4,4,9809
400000,4,1,7405
802541,5,3,12628
320000,3,3,12867
507000,4,3,13109
387500,3,1,11039
396000,3,1,15936
373000,3,2,15758
1.48E+06,5,3,27002
359900,4,2,12498
410000,2,1,6352
690000,4,3,29288
245000,3,2,8840
700000,5,3,31458
268000,4,2,14046
225000,3,2,29165
980000,4,2,15574
795000,2,1,7880
195000,2,1,7090
480000,4,2,14935
485000,4,2,6630
130000,2,1,11290
325000,2,1,9003
440000,3,2,10305
550000,4,2,20172
310000,3,2,9990
530000,3,3,45838
390000,4,3,12858
243000,3,2,14785
639000,4,3,14525
215000,4,1,10070
405000,5,2,13470
250000,4,2,10620
405500,3,2,10418
452000,6,2,17359
730000,6,2,17359
267000,3,2,12374
289950,3,3,10246
565000,2,1,6340
1.58E+06,4,3,60736
636000,3,3,7420
350000,5,3,9720
320000,3,2,12750
210000,2,2,8440
245000,2,1,8230
328000,3,2,10710
985000,4,2,45889
501000,3,2,12402
315000,3,2,20524
403000,3,3,12724
550000,3,2,22360
347500,4,3,7426
365000,4,2,13353
588000,3,1,11577
605000,3,2,11680
1.30E+06,3,3,12469
233000,3,2,12597
360000,4,3,22135
459000,2,2,7227
740000,3,2,77135
305000,3,1,12070
395000,3,1,6450
560000,4,3,11450
650000,4,2,9260
449950,3,3,9092
517500,3,2,8840
435000,4,2,9420
329999,3,1,9208
950000,3,2,8860
447000,3,1,8741
699800,2,3,10850
850000,3,2,6610
316500,3,2,17990
942500,5,4,16632
1.31E+06,2,2,11108
856600,4,2,18410
405600,5,2,8310
565000,4,3,27594
400000,3,2,3549
330000,3,2,221882
374950,4,3,9643
405300,3,3,12249
560000,3,2,35620
824000,4,2,14714
260000,3,2,13468
760000,4,3,10709
405000,3,3,18890
429900,4,3,13505
341500,3,2,9673
465250,5,2,11522
450000,2,2,5490
390000,3,1,13370
420000,3,2,12100
269950,3,3,8638
493000,4,2,6304
370000,4,3,11110
2.25E+06,5,4,17463
305000,3,1,26380
400000,3,2,11839
320000,3,2,3641
715000,4,1,8060
650000,6,3,16173
218000,5,2,12340
500000,2,1,8220
460000,4,2,44889
232500,3,2,13237
408200,3,3,9361
522000,3,2,11960
675000,4,3,17030
1.36E+06,4,4,18650
249950,4,1,10880
210000,2,1,36343
429950,4,1,10156
737500,4,3,42406
710000,4,2,12590
470000,3,3,8900
1.10E+06,4,4,47877
650000,3,2,6090
1.22E+06,4,3,15034
422120,3,3,7544
625000,5,3,21225
385200,4,1,10510
500000,3,2,8454
308000,4,2,16113
565000,3,3,14496
581000,3,3,9638
361000,3,2,12978
345000,3,1,9990
419000,2,2,3743
347000,3,3,8148
625000,4,2,41305
2.40E+06,4,4,23548
379000,3,3,21832
310000,3,2,5623
250000,2,2,7950
682000,5,3,10630
246500,3,2,11929
325000,3,1,60451
310950,4,3,9122
1.10E+06,3,2,10698
287500,3,1,10820
431000,3,1,10820
226000,3,1,7260
825000,3,2,6700
175000,4,1,8570
465750,3,2,13410
659000,4,2,30091
595000,3,2,9293
350000,3,2,19850
270000,4,2,12620
662500,6,2,29900
249900,3,2,16870
324500,3,2,15240
430000,2,2,6703
419950,2,2,6703
285000,4,2,11740
332000,4,3,12350
282000,4,2,13725
320000,3,1,7535
428750,3,1,34796
330000,3,2,39347
456500,4,4,5749
352000,3,2,14560
664000,4,2,7470
628000,3,2,18424
512000,3,2,15945
254000,3,2,12700
535800,4,3,9720
287653,3,1,18710
438000,3,3,4094
450000,4,2,28129
327000,5,3,12850
370500,4,3,9860
265000,3,3,9561
450000,4,3,18160
425000,3,1,217604
166600,3,2,11170
245000,1,1,16550
565000,3,1,7642
539900,3,2,13730
910000,3,4,7660
280000,4,3,11516
275000,3,2,11529
467000,3,3,12540
457500,3,3,7675
381156,2,1,5680
289999,5,3,12470
642450,3,2,7940
469950,3,2,11921
795000,3,2,19490
785000,4,3,16634
860000,3,2,18215
1.10E+06,0,0,10188
147500,3,1,11408
390000,3,2,15526
229000,3,1,10140
185000,3,1,10370
414900,3,2,12450
200000,4,2,7862
225000,4,2,13210
720000,3,2,7650
930000,4,3,8300
1.27E+06,5,3,24494
700000,5,3,7618
466000,2,2,3368
374000,3,2,13430
480000,3,3,14785
740000,3,3,31341
1.01E+06,4,1,9040
395000,4,3,10650
340000,2,1,9061
209000,3,2,3830
431650,5,3,10940
980000,5,3,17890
660000,3,3,33593
730000,4,2,13389
291500,3,2,12500
905000,4,4,21136
800000,4,3,56298
839900,4,4,20632
200000,1,2,3527
300000,3,2,10028
530000,3,2,8471
314950,3,2,11787
255000,3,2,12355
550000,5,3,10040
435000,3,1,7670
234000,3,2,11818
615000,4,2,15062
205000,3,2,11204
384000,4,2,10965
324000,3,3,11008
645000,3,2,9370
570000,3,3,4347
324000,3,3,9162
270000,2,1,12420
290000,5,2,11550
250000,3,2,12050
342000,3,2,19455
255000,3,2,11130
800000,3,2,16954
451000,3,2,7039
990000,4,3,16120
288400,4,3,10407
420000,3,2,8680
359000,2,3,3880
390000,4,3,266848
300000,3,3,5254
545000,5,3,12413
288349,3,1,21786
299900,3,2,38246
891000,4,2,9420
1.20E+06,3,2,28750
378000,4,3,10260
299995,2,1,10110
253000,3,3,10294
350000,3,2,51476
565000,4,3,7610
315000,2,1,8125
570000,4,3,10246
971000,5,4,16540
915000,5,3,9799
419000,4,2,27868
260000,4,2,11160
1.32E+06,3,3,17458
369950,3,1,14810
1.03E+06,3,3,20664
435000,5,1,9520
601000,3,2,10673
460500,3,1,13870
720000,3,3,5099
851000,4,3,19172
550000,4,3,9970
700000,4,1,8350
323000,3,2,18880
345500,3,1,12011
378000,4,2,12200
650000,4,2,8968
385000,3,2,10040
425000,2,1,5610
210000,4,2,9084
630000,4,3,48581
335000,3,2,10660
196500,3,1,11640
582800,4,3,12476
440000,3,2,10307
752500,4,2,13336
532500,3,2,7830
265000,3,1,11910
397500,3,1,17807
524250,3,3,7299
765000,4,3,16689
648000,4,3,10660
469500,5,3,29829
237500,3,2,10264
216000,3,1,11412
427200,3,1,10700
280000,3,2,11430
718000,5,3,15424
420000,2,3,7769
379000,2,1,7380
326100,2,1,9933
535000,3,3,3741
283000,4,3,12820
260000,3,1,10409
399000,4,1,8868
484950,3,2,8524
640000,4,2,14148
585000,4,3,11838
645000,4,2,16943
253000,3,2,10731
178500,2,1,8370
291000,4,3,10045
199950,2,3,23817
553500,2,1,4490
189950,2,1,6668
289000,3,2,13650
700000,4,2,8070
270000,3,2,12023
258000,4,2,11890
530000,3,3,11074
245000,3,2,6776
563000,3,2,7730
515000,3,3,9133
325000,4,3,12311
540000,3,2,222020
280300,2,1,7420
460000,4,2,8890
475000,3,2,13130
900000,4,2,49721
538200,4,3,10850
429000,2,1,6910
164808,3,1,8151
520000,4,2,11540
475000,3,2,11932
283000,4,2,50055
321500,4,3,10088
840000,4,3,28270
287000,3,2,8740
375000,3,2,10716
349500,3,2,9718
446450,3,2,10369
315000,4,3,13503
271310,2,1,7400
315000,4,1,11030
245000,3,2,10300
543115,2,1,8244
900000,4,2,10570
2.45E+06,4,4,14442
554000,2,2,9635
249900,3,2,16292
768000,3,3,60840
980000,4,3,12674
395000,5,3,13620
415000,3,2,5040
380000,4,3,11351
566000,3,3,8989
218500,2,1,12063
550000,4,3,14640
512031,3,2,5960
197500,2,1,11340
470000,3,2,12344
590000,3,2,246509
465000,4,2,13102
499000,2,2,118452
515000,3,2,15680
716500,3,2,9230
410000,3,2,7390
850000,4,3,11700
1.05E+06,4,3,41901
648000,4,3,18545
620000,4,2,9000
935000,4,5,94037
379000,3,1,12600
699000,3,2,8505
528000,4,2,11775
425000,3,2,13212
249500,2,2,11365
1.04E+06,5,3,14837
790000,4,3,17530
399950,3,1,20820
275000,3,2,12320
550000,3,1,5900
140000,1,1,9410
250000,3,1,9200
318000,3,2,12369
505000,2,1,61290
470500,5,3,13838
360000,3,1,11636
1.24E+06,4,3,14120
986000,3,3,21020
515000,2,1,6348
320000,3,2,45360
310000,4,3,10906
356700,2,1,7080
775000,4,2,9755
325000,3,1,9721
208000,4,3,12227
825000,2,1,16365
515000,3,3,16004
490000,3,2,7310
675000,4,3,33810
360000,4,3,7500
550000,4,3,7500
225000,3,2,11770
500000,3,3,15030
385000,4,2,15660
837700,5,3,18511
448000,3,2,6146
730000,5,2,26647
575000,4,2,12190
430000,3,2,10570
435000,3,3,7147
241000,3,1,11821
453500,2,2,4880
285000,2,2,3420
151000,2,1,5802
1.57E+06,5,5,25551
631000,5,2,5990
285000,2,3,4033
195000,3,1,10778
817500,4,3,41309
550000,3,2,16125
1.13E+06,4,3,14441
609850,2,3,5189
200000,3,1,7135
367000,4,3,12139
285167,3,2,12775
275000,2,2,34715
350900,4,3,17793
660000,4,3,14663
525000,3,2,12115
262000,4,3,10520
690000,2,1,7030
624000,5,4,21378
353000,3,1,10220
552500,4,4,15830
224500,4,1,11335
239000,3,1,10611
975000,5,5,20500
1.20E+06,4,2,23250
505000,3,1,7070
302000,4,2,11535
170000,3,1,7910
195000,2,1,29927
272000,5,2,10230
369000,5,2,10230
332500,3,2,9332
515000,3,3,13290
269000,3,1,7760
1.28E+06,4,4,25312
303000,3,3,7320
420000,7,3,13414
400000,3,1,7030
225000,3,1,10877
219000,2,2,5170
605000,3,3,14547
625000,4,2,10137
380000,5,2,6300
620000,4,2,11180
687500,4,3,17010
225500,4,2,10920
252500,3,2,9130
510000,3,3,7358
510000,4,3,9893
725000,3,3,7380
75000,1,0,45207
492000,2,1,5220
425000,4,3,17596
1.96E+06,4,3,13648
298900,3,3,9852
699000,4,3,46539
310000,2,1,5260
350000,3,2,11090
790000,4,2,14821
305000,4,3,9460
315000,3,3,6045
267500,5,4,10130
1.75E+06,4,3,14239
435000,6,4,12960
482500,6,5,12450
5.11E+06,5,5,56957
439995,3,2,11830
460000,3,3,11100
194000,3,1,8700
290000,2,1,9633
274700,4,2,13410
900000,4,3,7842
1.15E+06,4,4,111312
605000,3,3,8027
359000,3,3,7270
850000,3,2,13110
505000,3,2,5550
565000,3,3,12684
585000,2,2,9940
328000,4,3,12800
749950,4,3,24030
826000,4,3,13440
535000,3,1,43299
925000,4,3,108110
875000,3,4,10900
902000,4,2,14760
423000,3,1,17570
235000,3,1,14350
545000,2,2,19221
343000,2,1,10060
334950,3,3,6450
405000,3,2,8905
220000,4,1,11130
173000,2,1,10800
655000,3,1,6580
406000,2,1,4770
632000,6,3,13240
357000,5,3,7170
361000,3,2,19935
277000,2,1,10079
630000,4,4,47862
254000,3,3,8657
472800,3,2,12350
263000,3,2,7470
510000,3,2,7470
179950,3,1,12335
525000,4,2,10907
479000,3,3,3489
651000,3,2,10110
949000,4,2,13534
392400,5,3,32301
585000,4,2,8796
460000,4,3,14174
470000,3,1,6810
245000,3,3,7391
500000,4,2,32881
455000,3,3,12833
485500,4,3,8914
1.88E+06,5,3,15920
100000,2,1,19584
307000,3,2,19065
475000,4,4,20841
330000,4,3,11460
130000,3,1,10070
320000,3,3,12067
735000,4,3,10390
365000,4,3,12510
234000,3,2,14485
211000,4,2,11708
680000,6,4,11040
457000,4,3,13445
349000,3,2,10541
360000,3,3,10780
350000,4,3,15015
208000,3,1,9420
250275,2,1,13954
435000,2,1,13954
270000,3,2,11003
438000,3,2,17420
659000,4,2,27905
645000,4,3,10710
685100,4,3,10663
350000,7,3,14519
375000,2,1,86282
170000,3,2,85119
880000,4,3,7951
410500,4,3,8380
780000,4,3,20899
1.23E+06,5,5,11108
449000,2,2,9872
546000,3,2,8750
317000,3,2,14850
276900,3,1,10616
399000,5,2,11010
495000,5,3,15235
258000,3,2,13360
600000,2,3,107236
265000,3,3,3121
321000,5,3,11820
682000,5,2,8080
295700,4,3,9885
609000,4,3,42581
995000,3,5,53884
530000,3,2,16017
614000,5,3,9850
390000,3,3,26950
467000,3,3,10452
484000,6,3,18861
340000,3,3,3765
302495,3,3,11651
532500,3,2,6380
441500,3,3,14432
470000,4,3,12662
2.30E+06,4,3,15650
590000,3,3,104952
320000,3,2,16330
363000,2,2,3271
747500,4,2,23830
750000,2,3,12892
831000,4,3,7840
403000,3,3,7795
445000,3,3,9505
345000,3,1,20040
2.26E+06,3,4,21092
371025,3,2,12495
355000,2,1,8560
270000,3,1,17410
425000,4,3,20069
364808,3,2,12185
320000,3,2,9851
325000,4,3,11425
350000,3,2,14730
170000,3,2,13196
255000,2,1,31537
550000,3,1,10820
835000,4,4,34264
420000,3,1,7490
925000,4,3,11420
389250,2,2,6890
748000,3,3,14643
284000,3,2,12810
588000,4,2,8360
372500,3,2,11618
285000,4,3,10784
360000,3,1,12607
275000,3,1,20689
428000,2,2,7235
847000,6,3,23434
316000,3,1,10228
375000,3,3,11305
533000,3,1,7310
556000,5,3,24015
225000,4,2,17640
537250,4,3,14830
255000,3,1,16290
530000,4,3,9906
5.30E+06,6,6,36539
595000,3,3,36038
548000,4,2,12260
234975,3,2,11003
600000,3,2,4695
432000,4,1,15828
455000,3,2,9457
279950,3,2,14824
267500,3,2,12382
620000,4,3,224038
110000,2,1,9400
625000,3,4,5136
389000,2,1,9170
1.20E+06,4,2,7570
788500,4,2,138749
567000,5,2,11136
515000,2,2,20380
605000,4,3,16730
430000,4,4,8432
805000,2,2,9910
567500,3,3,8166
647500,3,2,7180
495000,2,2,5880
825000,4,3,11740
435000,4,2,12626
445950,3,2,10620
960000,5,3,16157
780000,4,3,7810
274500,3,2,12650
729953,5,3,9906
464950,3,2,3320
620000,4,2,24200
735000,4,4,11780
450000,4,2,13495
450000,4,1,7816
842500,4,3,9178
360000,3,2,83574
585000,3,3,104092
461000,3,2,11553
345000,2,1,7314
1.08E+06,3,3,15132
643000,4,3,13081
690000,4,3,13947
282000,4,1,13661
549000,3,2,10270
815000,3,2,10310
